reason_key,denial_reason_code,denial_reason_label,rcm_root_cause,accountable_owner,x12_carc_examples,preventability,appealability,effort_hours_per_appeal,rcm_stage
1,den_referral_required,Referral Required,Front-End: Authorization & Referral,Patient Access,"CARC 15, 197",0.85,0.55,1.0,Front-End
2,den_out_of_network,Out Of Network,Front-End: Eligibility & Network Verification,Patient Access,"CARC 242, 243",0.7,0.3,1.5,Front-End
3,den_member_not_covered,Member Not Covered,Front-End: Eligibility & Network Verification,Patient Access,"CARC 27, 31",0.9,0.25,0.5,Front-End
4,den_med_nec_other,Med Nec Other,Clinical: Medical Necessity,Clinical Documentation Improvement,"CARC 50, 55",0.45,0.75,3.0,Clinical
5,den_med_nec_behavioral,Med Nec Behavioral,Clinical: Medical Necessity (Behavioral Health),Clinical Documentation Improvement,CARC 50,0.4,0.8,3.5,Clinical
6,den_investigational,Investigational,Clinical: Coverage Policy,Utilization Management,"CARC 55, 57",0.35,0.6,4.0,Clinical
7,den_administrative,Administrative,Mid-Cycle: Coding & Claim Submission,HIM / Coding,"CARC 16, 4, 11",0.8,0.7,0.75,Mid-Cycle
8,den_service_excluded,Service Excluded,Benefit Design: Contractual Exclusion,Contracting / Benefits,"CARC 96, 204",0.25,0.15,2.0,Benefit Design
9,den_benefit_limit,Benefit Limit,Benefit Design: Benefit Maximum Reached,Contracting / Benefits,"CARC 119, 35",0.3,0.2,1.0,Benefit Design
10,den_other,Other,Unclassified,Revenue Integrity,n/a,0.4,0.4,2.0,Unclassified
