payer_key,issuer_id,issuer_name,state,valid_from_year,valid_to_year,is_current
1,10091,PacificSource Health Plans,OR,2020,9999,True
2,10207,"CareFirst BlueChoice, Inc.",VA,2020,9999,True
3,11269,Blue Cross Blue Shield of Wyoming,WY,2020,9999,True
4,11512,Blue Cross and Blue Shield of NC,NC,2020,9999,True
5,11574,"Oscar Health Plan, Inc.",IL,2020,9999,True
6,11718,"Community Health Choice Texas, Inc.",TX,2023,9999,True
7,12379,Bright Health Insurance Company of Florida,FL,2020,9999,True
8,13219,"Boston Medical Center Health Plan, Inc.",NH,2023,9999,True
9,13262,"HMO Partners, Inc.",AR,2020,9999,True
10,13484,Celtic Insurance Company,NE,2024,9999,True
11,13591,CareSource North Carolina Co.,NC,2021,9999,True
12,13877,"Oscar Health Plan, Inc.",AZ,2020,9999,True
13,13887,Community Care Network Inc,FL,2024,9999,True
14,14002,BlueCross BlueShield of Tennessee,TN,2020,9999,True
15,14624,"Vantage Health Plan of Mississippi, Inc.",MS,2020,2021,False
16,14624,"Primewell Health Services of Mississippi, Inc.",MS,2022,9999,True
17,14630,Children's Community Health Plan,WI,2020,2021,False
18,14630,Chorus Community Health Plans,WI,2022,9999,True
19,15105,"Cigna HealthCare of Georgia, Inc.",GA,2020,9999,True
20,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,2020,9999,True
21,15724,Oscar Insurance Company,AR,2020,9999,True
22,16842,Blue Cross and Blue Shield of Florida,FL,2020,9999,True
23,16985,Bright Health Company of South Carolina,SC,2020,9999,True
24,17091,Oscar Insurance Company,AL,2024,9999,True
25,17414,"AmeriHealth Caritas North Carolina, Inc.",NC,2020,9999,True
26,17575,Anthem Ins Companies Inc(Anthem BCBS),IN,2020,9999,True
27,17933,"Moda Health Plan, Inc.",TX,2020,9999,True
28,18167,Molina Healthcare of Utah,UT,2020,9999,True
29,18350,Hawaii Medical Service Association,HI,2020,9999,True
30,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,2020,9999,True
31,18628,Aetna Health Inc. (a FL corp.),FL,2021,9999,True
32,19636,"HMO Louisiana, Inc.",LA,2020,9999,True
33,19898,"AvMed, Inc.",FL,2020,9999,True
34,20069,Oscar Insurance Company,TX,2020,9999,True
35,20129,"Health Alliance Medical Plans, Inc.",IL,2020,9999,True
36,20173,HealthPartners Insurance Company,WI,2020,9999,True
37,20305,Medica Insurance Company,NE,2020,9999,True
38,20507,Optima Health Plan,VA,2020,9999,True
39,20635,"Oscar Health Plan, Inc.",MS,2024,9999,True
40,21333,Medica Insurance Company,OK,2020,9999,True
41,21525,Oscar Health Maintenance Organization of Florida,FL,2024,9999,True
42,21663,Celtic Insurance Company,FL,2020,9999,True
43,22013,Regence BlueCross BlueShield of Utah,UT,2020,9999,True
44,23435,Banner Health and Aetna Health Plan Inc.,AZ,2020,9999,True
45,23552,Oscar Insurance Company,TN,2020,9999,True
46,23603,PacificSource Health Plans,MT,2020,9999,True
47,24251,"Optimum Choice, Inc.",VA,2020,9999,True
48,25896,"Wellmark Health Plan of Iowa, Inc.",IA,2020,9999,True
49,25922,Oscar Insurance Company,VA,2020,9999,True
50,25928,Bright Health Insurance Company,VA,2020,9999,True
51,26065,Blue Cross and Blue Shield of South Carolina,SC,2020,9999,True
52,26289,"Nebraska Total Care, Inc.",NE,2020,9999,True
53,26539,"SHA, LLC DBA FirstCare Health Plans",TX,2020,9999,True
54,27248,"Community Health Choice, Inc.",TX,2020,9999,True
55,27833,Celtic Insurance Company,IL,2020,9999,True
56,28162,AultCare Insurance Company,OH,2020,9999,True
57,29276,Community Insurance Company(Anthem BCBS),OH,2020,9999,True
58,29341,Oscar Buckeye State Insurance Corp.,OH,2020,9999,True
59,29418,Celtic Insurance Company,TX,2020,9999,True
60,29678,Blue Cross and Blue Shield of Nebraska,NE,2021,9999,True
61,29698,Priority Health,MI,2020,9999,True
62,29854,"Alliant Health Plans, Inc.",TN,2023,9999,True
63,30252,"Health Options, Inc.",FL,2020,9999,True
64,30751,Blue Cross and Blue Shield of Montana,MT,2020,9999,True
65,31195,Sanford Health Plan,SD,2020,9999,True
66,31274,Highmark Blue Cross Blue Shield West Virginia,WV,2020,9999,True
67,31663,US Health and Life Insurance Company,TN,2021,9999,True
68,31981,Antidote Health Plan of Ohio,OH,2023,9999,True
69,32225,Montana Health Cooperative,MT,2020,9999,True
70,32311,Medica Community Health Plan,AZ,2020,9999,True
71,32355,"Molina Healthcare of Illinois, Inc.",IL,2020,9999,True
72,32542,US Health and Life Insurance Company,KS,2020,9999,True
73,32753,Healthy Alliance Life Co(Anthem BCBS),MO,2020,9999,True
74,33602,Blue Cross Blue Shield of Texas,TX,2020,9999,True
75,33764,"UnitedHealthcare of South Carolina, Inc.",SC,2022,9999,True
76,33863,InStil Health Insurance Company,SC,2023,9999,True
77,33931,"UnitedHealthcare of Ohio, Inc.",OH,2021,9999,True
78,34368,Celtic Insurance Company,KS,2020,9999,True
79,34541,BridgeSpan Health Company,UT,2020,9999,True
80,34762,Blue Cross and Blue Shield of Kansas City,MO,2020,9999,True
81,34826,"Imperial Insurance Companies, Inc.",TX,2021,9999,True
82,35065,Coordinated Care Corporation Indiana,IN,2023,9999,True
83,35755,US HEALTH AND LIFE INSURANCE COMPANY,IN,2020,9999,True
84,36096,Blue Cross Blue Shield of Illinois,IL,2020,9999,True
85,36194,"Health First Commercial Plans, Inc.",FL,2020,9999,True
86,37160,Blue Cross Blue Shield of North Dakota,ND,2020,9999,True
87,37204,"Piedmont Community HealthCare HMO, Inc.",VA,2020,9999,True
88,37758,Harbor Health Insurance Company,TX,2024,9999,True
89,37833,Quartz Health Benefit Plans Corporation,WI,2020,9999,True
90,37900,Bright Health Company of North Carolina,NC,2020,9999,True
91,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,2020,9999,True
92,38146,Bright Health Company of Georgia,GA,2020,9999,True
93,38166,"Security Health Plan of Wisconsin, Inc.",WI,2020,9999,True
94,38234,Aetna Life Insurance Company,VA,2020,9999,True
95,38246,"AmeriHealth Caritas Louisiana, Inc.",LA,2024,9999,True
96,38344,Premera Blue Cross Blue Shield of Alaska,AK,2020,9999,True
97,38345,Dean Health Plan,WI,2020,9999,True
98,38576,Montana Health Cooperative,WY,2020,9999,True
99,38927,Aetna Health of Utah Inc.,UT,2022,9999,True
100,39424,"Moda Health Plan, Inc.",OR,2020,9999,True
101,39520,Medica Insurance Company,KS,2020,9999,True
102,39889,Bright Health Insurance Company,UT,2020,9999,True
103,40047,"Molina Healthcare of Michigan, Inc.",MI,2020,9999,True
104,40220,"UnitedHealthcare of Texas, Inc.",TX,2020,9999,True
105,40308,Group Hospitalization and Medical Services Inc.,VA,2020,9999,True
106,40356,HAP CareSource,MI,2023,9999,True
107,40463,Bright Health Insurance Company,OK,2020,9999,True
108,40572,Oscar Insurance Company of Florida,FL,2020,9999,True
109,40702,"UnitedHealthcare of Arizona, Inc.",AZ,2020,9999,True
110,40788,Scott and White Health Plan,TX,2020,9999,True
111,41047,Buckeye Community Health Plan,OH,2020,9999,True
112,41921,Cigna Health and Life Insurance Company,VA,2020,9999,True
113,42261,University of Utah Health Insurance Plans,UT,2020,9999,True
114,42326,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC",SC,2020,9999,True
115,42529,"UnitedHealthcare of Illinois, Inc.",IL,2020,9999,True
116,43490,Oscar Insurance Company,KS,2020,9999,True
117,43802,"UnitedHealthcare of Georgia, Inc.",GA,2020,9999,True
118,44007,Celtic Insurance Company,NC,2020,9999,True
119,44228,Simply Healthcare Plans Inc dba Wellpoint Florida Inc,FL,2023,9999,True
120,44522,Bright Health Insurance Company of Illinois,IL,2020,9999,True
121,45334,"AMGP Georgia Managed Care Company, Inc. dba Anthem Blue Cross and Blue Shield",GA,2022,9999,True
122,45480,"UnitedHealthcare of Oklahoma, Inc.",OK,2020,9999,True
123,45786,"Molina Healthcare of Texas, Inc.",TX,2020,9999,True
124,45819,Oscar Insurance Company,IA,2020,9999,True
125,45845,Oscar Insurance Corporation of Ohio,OH,2020,9999,True
126,46400,Sidecar Health Insurance Company,OH,2021,9999,True
127,46944,Blue Cross and Blue Shield of Alabama,AL,2020,9999,True
128,47501,Wellpoint Insurance Company,TX,2023,9999,True
129,47840,SSM Health Insurance Company,MO,2020,2021,False
130,47840,Medica Central Insurance Company,MO,2022,9999,True
131,48121,Cigna Health and Life Insurance Company,FL,2020,9999,True
132,48161,Aetna Life Insurance Company,MO,2020,9999,True
133,48286,"Iowa Total Care, Inc.",IA,2023,9999,True
134,48772,"USAble HMO, Inc.",AR,2022,9999,True
135,49004,Centene Venture Company Florida,FL,2023,9999,True
136,49046,Anthem Blue Cross and Blue Shield,GA,2020,9999,True
137,49714,UnitedHealthcare Insurance Company,WY,2023,9999,True
138,50305,Wellmark of South Dakota,SD,2021,9999,True
139,50328,CareSource West Virginia Co.,WV,2020,9999,True
140,52664,"Summa Insurance Company, Inc.",OH,2020,9999,True
141,52697,"Molina Healthcare of Wisconsin, Inc.",WI,2020,9999,True
142,53461,Medica Insurance Company,MO,2020,9999,True
143,53882,"Cigna HealthCare of Illinois, Inc.",IL,2020,9999,True
144,53901,"Blue Cross and Blue Shield of Arizona, Inc.",AZ,2020,9999,True
145,53932,Celtic Insurance Company,AL,2021,9999,True
146,54172,"Molina Healthcare of Florida, Inc",FL,2020,9999,True
147,54192,"CareSource Indiana, Inc.",IN,2020,9999,True
148,54322,"MercyCare HMO, Inc.",IL,2020,9999,True
