plan_key,plan_id,issuer_id,plan_type,metal_level,product_type,state
1,77963AK0010001,77963,PPO,Gold,QHP,AK
2,77963AK0010002,77963,PPO,Silver,QHP,AK
3,77963AK0010003,77963,PPO,Bronze Expanded,QHP,AK
4,77963AK0010004,77963,PPO,Bronze Expanded,QHP,AK
5,38344AK1060001,38344,PPO,Gold,QHP,AK
6,38344AK1060002,38344,PPO,Silver,QHP,AK
7,38344AK1060004,38344,PPO,Bronze Expanded,QHP,AK
8,38344AK1070001,38344,PPO,Silver,QHP,AK
9,38344AK1070002,38344,PPO,Bronze Expanded,QHP,AK
10,38344AK1080001,38344,PPO,Gold,QHP,AK
11,38344AK1080002,38344,PPO,Bronze Expanded,QHP,AK
12,46944AL0370001,46944,PPO,Gold,QHP,AL
13,46944AL0410001,46944,PPO,Silver,QHP,AL
14,46944AL0460001,46944,PPO,Bronze Expanded,QHP,AL
15,46944AL0470001,46944,PPO,Catastrophic,QHP,AL
16,46944AL0560001,46944,PPO,Bronze Expanded,QHP,AL
17,46944AL0650001,46944,PPO,Gold,QHP,AL
18,46944AL0660001,46944,PPO,Silver,QHP,AL
19,73301AL0020001,73301,EPO,Gold,QHP,AL
20,73301AL0020003,73301,EPO,Bronze Expanded,QHP,AL
21,73301AL0020004,73301,EPO,Catastrophic,QHP,AL
22,73301AL0020006,73301,EPO,Bronze Expanded,QHP,AL
23,73301AL0020009,73301,EPO,Silver,QHP,AL
24,73301AL0020010,73301,EPO,Bronze Expanded,QHP,AL
25,73301AL0020011,73301,EPO,Silver,QHP,AL
26,73301AL0020012,73301,EPO,Silver,QHP,AL
27,69461AL0110001,69461,EPO,Gold,QHP,AL
28,69461AL0110002,69461,EPO,Gold,QHP,AL
29,69461AL0110003,69461,EPO,Silver,QHP,AL
30,69461AL0110004,69461,EPO,Silver,QHP,AL
31,69461AL0110005,69461,EPO,Silver,QHP,AL
32,69461AL0110006,69461,EPO,Bronze,QHP,AL
33,69461AL0110007,69461,EPO,Bronze Expanded,QHP,AL
34,46944AL0710001,46944,EPO,Silver,QHP,AL
35,73301AL0020014,73301,EPO,Gold,QHP,AL
36,73301AL0020015,73301,EPO,Bronze Expanded,QHP,AL
37,73301AL0020016,73301,EPO,Bronze Expanded,QHP,AL
38,73301AL0020018,73301,EPO,Silver,QHP,AL
39,73301AL0020022,73301,EPO,Silver,QHP,AL
40,73301AL0020023,73301,EPO,Silver,QHP,AL
41,73301AL0020024,73301,EPO,Bronze Expanded,QHP,AL
42,37903AR0070025,37903,PPO,Silver,QHP,AR
43,37903AR0070027,37903,PPO,Gold,QHP,AR
44,70525AR0070261,70525,POS,Silver,QHP,AR
45,70525AR0070263,70525,POS,Gold,QHP,AR
46,62141AR0080007,62141,PPO,Silver,QHP,AR
47,62141AR0080009,62141,PPO,Silver,QHP,AR
48,62141AR0080012,62141,PPO,Silver,QHP,AR
49,62141AR0080014,62141,PPO,Gold,QHP,AR
50,62141AR0080101,62141,PPO,Silver,QHP,AR
51,62141AR0100007,62141,PPO,Silver,QHP,AR
52,62141AR0100009,62141,PPO,Silver,QHP,AR
53,62141AR0100013,62141,PPO,Silver,QHP,AR
54,62141AR0100014,62141,PPO,Gold,QHP,AR
55,75293AR1200003,75293,PPO,Silver,QHP,AR
56,75293AR1200004,75293,PPO,Silver,QHP,AR
57,75293AR1200006,75293,PPO,Silver,QHP,AR
58,75293AR1200007,75293,PPO,Bronze Expanded,QHP,AR
59,75293AR1200008,75293,PPO,Bronze Expanded,QHP,AR
60,75293AR1200014,75293,PPO,Silver,QHP,AR
61,75293AR1200020,75293,PPO,Gold,QHP,AR
62,13262AR0230002,13262,POS,Silver,QHP,AR
63,13262AR0230003,13262,POS,Gold,QHP,AR
64,15724AR0010002,15724,PPO,Bronze Expanded,QHP,AR
65,15724AR0010005,15724,PPO,Bronze Expanded,QHP,AR
66,15724AR0010006,15724,PPO,Silver,QHP,AR
67,15724AR0010008,15724,PPO,Silver,QHP,AR
68,15724AR0010011,15724,PPO,Catastrophic,QHP,AR
69,15724AR0010013,15724,PPO,Gold,QHP,AR
70,15724AR0010014,15724,PPO,Bronze Expanded,QHP,AR
71,15724AR0010015,15724,PPO,Silver,QHP,AR
72,15724AR0010016,15724,PPO,Silver,QHP,AR
73,15724AR0010020,15724,PPO,Gold,QHP,AR
74,15724AR0010021,15724,PPO,Bronze Expanded,QHP,AR
75,15724AR0010023,15724,PPO,Bronze Expanded,QHP,AR
76,15724AR0010024,15724,PPO,Bronze Expanded,QHP,AR
77,15724AR0010025,15724,PPO,Silver,QHP,AR
78,15724AR0010026,15724,PPO,Silver,QHP,AR
79,15724AR0010027,15724,PPO,Silver,QHP,AR
80,15724AR0010028,15724,PPO,Silver,QHP,AR
81,15724AR0010029,15724,PPO,Silver,QHP,AR
82,15724AR0010030,15724,PPO,Silver,QHP,AR
83,15724AR0010033,15724,PPO,Gold,QHP,AR
84,15724AR0010034,15724,PPO,Gold,QHP,AR
85,15724AR0010035,15724,PPO,Gold,QHP,AR
86,15724AR0010036,15724,PPO,Gold,QHP,AR
87,15724AR0010037,15724,PPO,Gold,QHP,AR
88,15724AR0010038,15724,PPO,Bronze Expanded,QHP,AR
89,15724AR0010041,15724,PPO,Bronze Expanded,QHP,AR
90,15724AR0010043,15724,PPO,Bronze Expanded,QHP,AR
91,15724AR0010045,15724,PPO,Silver,QHP,AR
92,37903AR0070050,37903,PPO,Silver,QHP,AR
93,70525AR0070285,70525,POS,Bronze Expanded,QHP,AR
94,70525AR0070286,70525,POS,Silver,QHP,AR
95,62141AR0080017,62141,PPO,Bronze Expanded,QHP,AR
96,62141AR0080025,62141,PPO,Bronze Expanded,QHP,AR
97,62141AR0080026,62141,PPO,Bronze Expanded,QHP,AR
98,62141AR0080029,62141,PPO,Silver,QHP,AR
99,62141AR0080030,62141,PPO,Gold,QHP,AR
100,62141AR0080075,62141,PPO,Bronze,QHP,AR
101,62141AR0100017,62141,PPO,Bronze Expanded,QHP,AR
102,62141AR0100025,62141,PPO,Bronze Expanded,QHP,AR
103,62141AR0100026,62141,PPO,Bronze Expanded,QHP,AR
104,62141AR0100030,62141,PPO,Gold,QHP,AR
105,62141AR0100031,62141,PPO,Silver,QHP,AR
106,62141AR0100075,62141,PPO,Bronze,QHP,AR
107,75293AR1200023,75293,PPO,Silver,QHP,AR
108,75293AR1200024,75293,PPO,Bronze Expanded,QHP,AR
109,53901AZ1420001,53901,HMO,Gold,QHP,AZ
110,53901AZ1420002,53901,HMO,Gold,QHP,AZ
111,53901AZ1420003,53901,HMO,Gold,QHP,AZ
112,53901AZ1420006,53901,HMO,Gold,QHP,AZ
113,53901AZ1420007,53901,HMO,Gold,QHP,AZ
114,53901AZ1420008,53901,HMO,Silver,QHP,AZ
115,53901AZ1420009,53901,HMO,Silver,QHP,AZ
116,53901AZ1420010,53901,HMO,Silver,QHP,AZ
117,53901AZ1420013,53901,HMO,Silver,QHP,AZ
118,53901AZ1420014,53901,HMO,Silver,QHP,AZ
119,53901AZ1420015,53901,HMO,Bronze Expanded,QHP,AZ
120,53901AZ1420016,53901,HMO,Bronze Expanded,QHP,AZ
121,53901AZ1420017,53901,HMO,Bronze Expanded,QHP,AZ
122,53901AZ1420020,53901,HMO,Bronze Expanded,QHP,AZ
123,53901AZ1420021,53901,HMO,Bronze Expanded,QHP,AZ
124,53901AZ1420022,53901,HMO,Bronze Expanded,QHP,AZ
125,53901AZ1420023,53901,HMO,Bronze Expanded,QHP,AZ
126,53901AZ1420024,53901,HMO,Bronze Expanded,QHP,AZ
127,53901AZ1420027,53901,HMO,Bronze Expanded,QHP,AZ
128,53901AZ1420028,53901,HMO,Bronze Expanded,QHP,AZ
129,53901AZ1420037,53901,HMO,Silver,QHP,AZ
