date_key,payer_key,geo_key,plan_count,claims_received,claims_received_in_network,claims_received_out_of_network,claims_denied,claims_denied_in_network,claims_denied_out_of_network,claims_resubmitted,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned
2020,226,1,4,7965.0,,,628.0,,,,,,0.0,0.0
2020,96,1,7,440169.0,,,95724.0,,,,103.0,55.0,,
2020,127,2,8,5903602.0,,,1319590.0,,,,2052.0,438.0,56.0,
2020,208,2,15,136527.0,,,33519.0,,,,33.0,22.0,,
2020,191,2,7,,,,,,,,,,,
2020,91,3,3,599681.0,,,204398.0,,,,93.0,53.0,0.0,0.0
2020,196,3,4,595103.0,,,203216.0,,,,131.0,62.0,,
2020,172,3,21,1576474.0,,,539476.0,,,,286.0,146.0,0.0,0.0
2020,216,3,9,5248921.0,,,964896.0,,,,3000.0,1230.0,,
2020,9,3,2,,,,,,,,,,,
2020,21,3,28,,,,,,,,,,,
2020,144,4,98,1374409.0,,,177779.0,,,,1362.0,648.0,39.0,
2020,256,4,29,1943258.0,,,527951.0,,,,409.0,195.0,,
2020,247,4,30,666465.0,,,129389.0,,,,512.0,268.0,40.0,22.0
2020,12,4,29,10388.0,,,6986.0,,,,,,0.0,0.0
2020,273,4,12,203309.0,,,24216.0,,,,228.0,13.0,,0.0
2020,44,4,10,,,,,,,,,,,
2020,109,4,14,,,,,,,,,,,
2020,70,4,8,,,,,,,,,,,
2020,218,5,13,615303.0,,,79487.0,,,,123.0,58.0,,0.0
2020,146,6,10,592003.0,,,181491.0,,,,327.0,109.0,,
2020,131,6,17,504329.0,,,79531.0,,,,778.0,36.0,0.0,0.0
2020,151,6,37,1935231.0,,,251538.0,,,,349.0,133.0,,0.0
2020,42,6,58,8990578.0,,,2508389.0,,,,56.0,11.0,0.0,0.0
2020,63,6,48,18327228.0,,,2030172.0,,,,2519.0,1086.0,103.0,41.0
2020,22,6,26,18459475.0,,,1931938.0,,,,3515.0,1416.0,157.0,52.0
2020,85,6,36,1010192.0,,,134692.0,,,,398.0,204.0,14.0,
