denial_reason,root_cause,owner,x12_carc_examples,share_of_denials,denials,appealable_denials,currently_appealed,appeal_gap,expected_overturned,gross_recovery,appeal_cost,net_recovery,appeal_roi,preventable_denials,prevention_value,total_opportunity,appeal_recommended,net_recovery_selective,total_opportunity_selective
den_other,Unclassified,Revenue Integrity,n/a,0.6044762311355788,22658.752248766858,9063.500899506744,59.02216360957411,9004.47873589717,2937.5878994115624,922506.0035092898,1116555.363251249,-194049.35974195926,0.8262071312103008,9063.500899506744,2525394.5821425617,2331345.2224006024,False,0.0,2525394.5821425617
den_administrative,Mid-Cycle: Coding & Claim Submission,HIM / Coding,"CARC 16, 4, 11",0.15069188348557483,5648.675461374495,3954.0728229621463,14.71383082344158,3939.3589921387047,1285.1619339841527,403586.08497110015,183180.19313444977,220405.89183665038,2.203219016560802,4518.940369099596,1259127.9740227642,1479533.8658594147,True,220405.89183665038,1479533.8658594147
den_service_excluded,Benefit Design: Contractual Exclusion,Contracting / Benefits,"CARC 96, 204",0.10179184504021502,3815.6606974903148,572.3491046235472,9.939141727371656,562.4099628961756,183.4785499493658,57618.72312905907,69738.83539912578,-12120.112270066704,0.8262071312103006,953.9151743725787,265792.68208768993,253672.56981762324,False,0.0,265792.68208768993
den_referral_required,Front-End: Authorization & Referral,Patient Access,"CARC 15, 197",0.053084587160627694,1989.8723005883558,1094.4297653235958,5.183276077961322,1089.2464892456344,355.3517532923233,111592.9589155054,67533.28233322933,44059.676582276064,1.6524142624206017,1691.3914555001024,471278.2472647673,515337.92384704336,True,44059.676582276064,515337.92384704336
den_out_of_network,Front-End: Eligibility & Network Verification,Patient Access,"CARC 242, 243",0.023195776966681604,869.492192469362,260.8476577408086,2.264878042610087,258.5827796981985,84.35909139408382,26491.72413775939,24048.198511932464,2443.5256258269255,1.101609508280401,608.6445347285534,169588.73039200777,172032.2560178347,True,2443.5256258269255,172032.2560178347
den_benefit_limit,Benefit Design: Benefit Maximum Reached,Contracting / Benefits,"CARC 119, 35",0.022984098568373634,861.5574414624191,172.31148829248383,2.244209377054661,170.06727891542917,55.48212120665738,17423.33902955689,10544.171292756608,6879.167736800282,1.6524142624206015,258.4672324387257,72017.61832424636,78896.78606104665,True,6879.167736800282,78896.78606104665
den_member_not_covered,Front-End: Eligibility & Network Verification,Patient Access,"CARC 27, 31",0.02092136570022465,784.2360339242409,196.05900848106023,2.0428003711157188,194.0162081099445,63.29513145068268,19876.899264141422,6014.50245140828,13862.396812733143,3.3048285248412026,705.8124305318169,196662.95704465907,210525.3538573922,True,13862.396812733143,210525.3538573922
den_med_nec_other,Clinical: Medical Necessity,Clinical Documentation Improvement,"CARC 50, 55",0.016860764790137477,632.0246726438569,474.0185044828927,1.6463158793796062,472.3721886035131,154.10495887211155,48394.381580395326,87861.22708025343,-39466.84549985811,0.5508047541402006,284.4111026897356,79246.44856304245,39779.60306318434,False,0.0,79246.44856304245
den_med_nec_behavioral,Clinical: Medical Necessity (Behavioral Health),Clinical Documentation Improvement,CARC 50,0.005450049440026351,204.29474914686858,163.43579931749488,0.5321527847756753,162.90364653271922,53.14508422533957,16689.427153721357,35350.09129760007,-18660.664143878712,0.4721183606916005,81.71789965874744,22769.34082651235,4108.676682633639,False,0.0,22769.34082651235
den_investigational,Clinical: Coverage Policy,Utilization Management,"CARC 55, 57",0.0005433977125599556,20.36922794848657,12.221536769091943,0.05305834546303019,12.168478423628912,3.9697994764536904,1246.6567725480297,3017.78264905997,-1771.1258765119403,0.4131035656051503,7.1292297819703,1986.4419351706597,215.31605865871938,False,0.0,1986.4419351706597
