assumption,scenario,value,total_opportunity,pct_change,max_swing
denial_value_at_risk_share,high,0.4,9024392.586038262,0.6863246085113847,0.6863246085113847
denial_value_at_risk_share,low,0.15,3166355.4928395553,-0.40832547609560554,0.6863246085113847
avg_allowed_amount_per_claim,high,1737.21,7084840.369786475,0.3238941622984903,0.3238941622984903
avg_allowed_amount_per_claim,low,1002.24,3984456.944577334,-0.2554526265191503,0.3238941622984903
resubmission_success_rate,high,0.7,5035041.441682226,-0.05913730957145456,0.05913730957145492
resubmission_success_rate,low,0.4,5667989.920713193,0.05913730957145492,0.05913730957145492
appeal_cost_per_hour,high,90.0,5228368.60431492,-0.023011625905434645,0.037182532101290494
appeal_cost_per_hour,low,45.0,5550498.584804402,0.037182532101290494,0.037182532101290494
rework_touch_cost,high,45.0,5477822.449842139,0.023602055224878328,0.023602055224878328
rework_touch_cost,low,12.0,5269416.2815788295,-0.015341335896170729,0.023602055224878328
collection_rate_on_overturn,high,0.99,5382312.011321009,0.00575469305481101,0.010341084932151459
collection_rate_on_overturn,low,0.85,5296175.203022703,-0.010341084932151459,0.010341084932151459
BASE CASE,base,,5351515.6811977085,0.0,
